title,authors,paper_link,supplementary_link,arxiv_link
DiffuseMix: Label-Preserving Data Augmentation with Diffusion Models,"Khawar Islam,



Muhammad Zaigham Zaheer,



Arif Mahmood,



Karthik Nandakumar",,,
PRDP: Proximal Reward Difference Prediction for Large-Scale Reward Finetuning of Diffusion Models,"Fei Deng,



Qifei Wang,



Wei Wei,



Tingbo Hou,



Matthias Grundmann",,,
FREE: Faster and Better Data-Free Meta-Learning,"Yongxian Wei,



Zixuan Hu,



Zhenyi Wang,



Li Shen,



Chun Yuan,



Dacheng Tao",,,
Bayesian Diffusion Models for 3D Shape Reconstruction,"Haiyang Xu,



Yu Lei,



Zeyuan Chen,



Xiang Zhang,



Yue Zhao,



Yilin Wang,



Zhuowen Tu",,,
Task-Customized Mixture of Adapters for General Image Fusion,"Pengfei Zhu,



Yang Sun,



Bing Cao,



Qinghua Hu",,,
Bi-SSC: Geometric-Semantic Bidirectional Fusion for Camera-based 3D Semantic Scene Completion,"Yujie Xue,



Ruihui Li,



Fan Wu,



Zhuo Tang,



Kenli Li,



Mingxing Duan",,,
CrossKD: Cross-Head Knowledge Distillation for Object Detection,"Jiabao Wang,



Yuming Chen,



Zhaohui Zheng,



Xiang Li,



Ming-Ming Cheng,



Qibin Hou",,,
Bi-level Learning of Task-Specific Decoders for Joint Registration and One-Shot Medical Image Segmentation,"Xin Fan,



Xiaolin Wang,



Jiaxin Gao,



Jia Wang,



Zhongxuan Luo,



Risheng Liu",,,
Parameter Efficient Self-Supervised Geospatial Domain Adaptation,"Linus Scheibenreif,



Michael Mommert,



Damian Borth",,,
Defense without Forgetting: Continual Adversarial Defense with Anisotropic & Isotropic Pseudo Replay,"Yuhang Zhou,



Zhongyun Hua",,,
EscherNet: A Generative Model for Scalable View Synthesis,"Xin Kong,



Shikun Liu,



Xiaoyang Lyu,



Marwan Taher,



Xiaojuan Qi,



Andrew J. Davison",,,
MeaCap: Memory-Augmented Zero-shot Image Captioning,"Zequn Zeng,



Yan Xie,



Hao Zhang,



Chiyu Chen,



Bo Chen,



Zhengjue Wang",,,
Artist-Friendly Relightable and Animatable Neural Heads,"Yingyan Xu,



Prashanth Chandran,



Sebastian Weiss,



Markus Gross,



Gaspard Zoss,



Derek Bradley",,,
Elite360D: Towards Efficient 360 Depth Estimation via Semantic- and Distance-Aware Bi-Projection Fusion,"Hao Ai,



Lin Wang",,,
From Feature to Gaze: A Generalizable Replacement of Linear Layer for Gaze Estimation,"Yiwei Bao,



Feng Lu",,,
Curriculum Point Prompting for Weakly-Supervised Referring Image Segmentation,"Qiyuan Dai,



Sibei Yang",,,
EventDance: Unsupervised Source-free Cross-modal Adaptation for Event-based Object Recognition,"Xu Zheng,



Lin Wang",,,
CycleINR: Cycle Implicit Neural Representation for Arbitrary-Scale Volumetric Super-Resolution of Medical Data,"Wei Fang,



Yuxing Tang,



Heng Guo,



Mingze Yuan,



Tony C. W. Mok,



Ke Yan,



Jiawen Yao,



Xin Chen,



Zaiyi Liu,



Le Lu,



Ling Zhang,



Minfeng Xu",,,
Boosting Image Restoration via Priors from Pre-trained Models,"Xiaogang Xu,



Shu Kong,



Tao Hu,



Zhe Liu,



Hujun Bao",,,
VRetouchEr: Learning Cross-frame Feature Interdependence with Imperfection Flow for Face Retouching in Videos,"Wen Xue,



Le Jiang,



Lianxin Xie,



Si Wu,



Yong Xu,



Hau San Wong",,,
Transferable Structural Sparse Adversarial Attack Via Exact Group Sparsity Training,"Di Ming,



Peng Ren,



Yunlong Wang,



Xin Feng",,,
Holistic Autonomous Driving Understanding by Bird's-Eye-View Injected Multi-Modal Large Models,"Xinpeng Ding,



Jianhua Han,



Hang Xu,



Xiaodan Liang,



Wei Zhang,



Xiaomeng Li",,,
Arbitrary-Scale Image Generation and Upsampling using Latent Diffusion Model and Implicit Neural Decoder,"Jinseok Kim,



Tae-Kyun Kim",,,
Unsupervised Occupancy Learning from Sparse Point Cloud,"Amine Ouasfi,



Adnane Boukhayma",,,
Extreme Point Supervised Instance Segmentation,"Hyeonjun Lee,



Sehyun Hwang,



Suha Kwak",,,
3DInAction: Understanding Human Actions in 3D Point Clouds,"Yizhak Ben-Shabat,



Oren Shrout,



Stephen Gould",,,
Cache Me if You Can: Accelerating Diffusion Models through Block Caching,"Felix Wimbauer,



Bichen Wu,



Edgar Schoenfeld,



Xiaoliang Dai,



Ji Hou,



Zijian He,



Artsiom Sanakoyeu,



Peizhao Zhang,



Sam Tsai,



Jonas Kohler,



Christian Rupprecht,



Daniel Cremers,



Peter Vajda,



Jialiang Wang",,,
MedM2G: Unifying Medical Multi-Modal Generation via Cross-Guided Diffusion with Visual Invariant,"Chenlu Zhan,



Yu Lin,



Gaoang Wang,



Hongwei Wang,



Jian Wu",,,
SDDGR: Stable Diffusion-based Deep Generative Replay for Class Incremental Object Detection,"Junsu Kim,



Hoseong Cho,



Jihyeon Kim,



Yihalem Yimolal Tiruneh,



Seungryul Baek",,,
Neural Parametric Gaussians for Monocular Non-Rigid Object Reconstruction,"Devikalyan Das,



Christopher Wewer,



Raza Yunus,



Eddy Ilg,



Jan Eric Lenssen",,,
Physical 3D Adversarial Attacks against Monocular Depth Estimation in Autonomous Driving,"Junhao Zheng,



Chenhao Lin,



Jiahao Sun,



Zhengyu Zhao,



Qian Li,



Chao Shen",,,
Adaptive Random Feature Regularization on Fine-tuning Deep Neural Networks,"Shin'ya Yamaguchi,



Sekitoshi Kanai,



Kazuki Adachi,



Daiki Chijiwa",,,
PH-Net: Semi-Supervised Breast Lesion Segmentation via Patch-wise Hardness,"Siyao Jiang,



Huisi Wu,



Junyang Chen,



Qin Zhang,



Jing Qin",,,
Multimodal Prompt Perceiver: Empower Adaptiveness Generalizability and Fidelity for All-in-One Image Restoration,"Yuang Ai,



Huaibo Huang,



Xiaoqiang Zhou,



Jiexiang Wang,



Ran He",,,
ExACT: Language-guided Conceptual Reasoning and Uncertainty Estimation for Event-based Action Recognition and More,"Jiazhou Zhou,



Xu Zheng,



Yuanhuiyi Lyu,



Lin Wang",,,
Color Shift Estimation-and-Correction for Image Enhancement,"Yiyu Li,



Ke Xu,



Gerhard Petrus Hancke,



Rynson W.H. Lau",,,
Improving Visual Recognition with Hyperbolical Visual Hierarchy Mapping,"Hyeongjun Kwon,



Jinhyun Jang,



Jin Kim,



Kwonyoung Kim,



Kwanghoon Sohn",,,
ParameterNet: Parameters Are All You Need for Large-scale Visual Pretraining of Mobile Networks,"Kai Han,



Yunhe Wang,



Jianyuan Guo,



Enhua Wu",,,
Repurposing Diffusion-Based Image Generators for Monocular Depth Estimation,"Bingxin Ke,



Anton Obukhov,



Shengyu Huang,



Nando Metzger,



Rodrigo Caye Daudt,



Konrad Schindler",,,
Identifying Important Group of Pixels using Interactions,"Kosuke Sumiyasu,



Kazuhiko Kawamoto,



Hiroshi Kera",,,
Towards Scalable 3D Anomaly Detection and Localization: A Benchmark via 3D Anomaly Synthesis and A Self-Supervised Learning Network,"Wenqiao Li,



Xiaohao Xu,



Yao Gu,



Bozhong Zheng,



Shenghua Gao,



Yingna Wu",,,
Cam4DOcc: Benchmark for Camera-Only 4D Occupancy Forecasting in Autonomous Driving Applications,"Junyi Ma,



Xieyuanli Chen,



Jiawei Huang,



Jingyi Xu,



Zhen Luo,



Jintao Xu,



Weihao Gu,



Rui Ai,



Hesheng Wang",,,
DIOD: Self-Distillation Meets Object Discovery,"Sandra Kara,



Hejer Ammar,



Julien Denize,



Florian Chabot,



Quoc-Cuong Pham",,,
GoMAvatar: Efficient Animatable Human Modeling from Monocular Video Using Gaussians-on-Mesh,"Jing Wen,



Xiaoming Zhao,



Zhongzheng Ren,



Alexander G. Schwing,



Shenlong Wang",,,
Neural Redshift: Random Networks are not Random Functions,"Damien Teney,



Armand Mihai Nicolicioiu,



Valentin Hartmann,



Ehsan Abbasnejad",,,
HumanGaussian: Text-Driven 3D Human Generation with Gaussian Splatting,"Xian Liu,



Xiaohang Zhan,



Jiaxiang Tang,



Ying Shan,



Gang Zeng,



Dahua Lin,



Xihui Liu,



Ziwei Liu",,,
DIEM: Decomposition-Integration Enhancing Multimodal Insights,"Xinyi Jiang,



Guoming Wang,



Junhao Guo,



Juncheng Li,



Wenqiao Zhang,



Rongxing Lu,



Siliang Tang",,,
CosmicMan: A Text-to-Image Foundation Model for Humans,"Shikai Li,



Jianglin Fu,



Kaiyuan Liu,



Wentao Wang,



Kwan-Yee Lin,



Wayne Wu",,,
LLMs are Good Sign Language Translators,"Jia Gong,



Lin Geng Foo,



Yixuan He,



Hossein Rahmani,



Jun Liu",,,
Contrastive Pre-Training with Multi-View Fusion for No-Reference Point Cloud Quality Assessment,"Ziyu Shan,



Yujie Zhang,



Qi Yang,



Haichen Yang,



Yiling Xu,



Jenq-Neng Hwang,



Xiaozhong Xu,



Shan Liu",,,
JDEC: JPEG Decoding via Enhanced Continuous Cosine Coefficients,"Woo Kyoung Han,



Sunghoon Im,



Jaedeok Kim,



Kyong Hwan Jin",,,
Revisiting the Domain Shift and Sample Uncertainty in Multi-source Active Domain Transfer,"Wenqiao Zhang,



Zheqi Lv,



Hao Zhou,



Jia-Wei Liu,



Juncheng Li,



Mengze Li,



Yunfei Li,



Dongping Zhang,



Yueting Zhuang,



Siliang Tang",,,
Learning Continual Compatible Representation for Re-indexing Free Lifelong Person Re-identification,"Zhenyu Cui,



Jiahuan Zhou,



Xun Wang,



Manyu Zhu,



Yuxin Peng",,,
Revisiting Spatial-Frequency Information Integration from a Hierarchical Perspective for Panchromatic and Multi-Spectral Image Fusion,"Jiangtong Tan,



Jie Huang,



Naishan Zheng,



Man Zhou,



Keyu Yan,



Danfeng Hong,



Feng Zhao",,,
BSNet: Box-Supervised Simulation-assisted Mean Teacher for 3D Instance Segmentation,"Jiahao Lu,



Jiacheng Deng,



Tianzhu Zhang",,,
Adaptive Slot Attention: Object Discovery with Dynamic Slot Number,"Ke Fan,



Zechen Bai,



Tianjun Xiao,



Tong He,



Max Horn,



Yanwei Fu,



Francesco Locatello,



Zheng Zhang",,,
CORES: Convolutional Response-based Score for Out-of-distribution Detection,"Keke Tang,



Chao Hou,



Weilong Peng,



Runnan Chen,



Peican Zhu,



Wenping Wang,



Zhihong Tian",,,
Task-Driven Wavelets using Constrained Empirical Risk Minimization,"Eric Marcus,



Ray Sheombarsing,



Jan-Jakob Sonke,



Jonas Teuwen",,,
HOI-M^3: Capture Multiple Humans and Objects Interaction within Contextual Environment,"Juze Zhang,



Jingyan Zhang,



Zining Song,



Zhanhe Shi,



Chengfeng Zhao,



Ye Shi,



Jingyi Yu,



Lan Xu,



Jingya Wang",,,
Interactive3D: Create What You Want by Interactive 3D Generation,"Shaocong Dong,



Lihe Ding,



Zhanpeng Huang,



Zibin Wang,



Tianfan Xue,



Dan Xu",,,
DeiT-LT: Distillation Strikes Back for Vision Transformer Training on Long-Tailed Datasets,"Harsh Rangwani,



Pradipto Mondal,



Mayank Mishra,



Ashish Ramayee Asokan,



R. Venkatesh Babu",,,
Accurate Spatial Gene Expression Prediction by Integrating Multi-Resolution Features,"Youngmin Chung,



Ji Hun Ha,



Kyeong Chan Im,



Joo Sang Lee",,,
FCS: Feature Calibration and Separation for Non-Exemplar Class Incremental Learning,"Qiwei Li,



Yuxin Peng,



Jiahuan Zhou",,,
Task2Box: Box Embeddings for Modeling Asymmetric Task Relationships,"Rangel Daroya,



Aaron Sun,



Subhransu Maji",,,
Behind the Veil: Enhanced Indoor 3D Scene Reconstruction with Occluded Surfaces Completion,"Su Sun,



Cheng Zhao,



Yuliang Guo,



Ruoyu Wang,



Xinyu Huang,



Yingjie Victor Chen,



Liu Ren",,,
VideoGrounding-DINO: Towards Open-Vocabulary Spatio-Temporal Video Grounding,"Syed Talal Wasim,



Muzammal Naseer,



Salman Khan,



Ming-Hsuan Yang,



Fahad Shahbaz Khan",,,
OmniLocalRF: Omnidirectional Local Radiance Fields from Dynamic Videos,"Dongyoung Choi,



Hyeonjoong Jang,



Min H. Kim",,,
LoS: Local Structure-Guided Stereo Matching,"Kunhong Li,



Longguang Wang,



Ye Zhang,



Kaiwen Xue,



Shunbo Zhou,



Yulan Guo",,,
Semantic Human Mesh Reconstruction with Textures,"Xiaoyu Zhan,



Jianxin Yang,



Yuanqi Li,



Jie Guo,



Yanwen Guo,



Wenping Wang",,,
Think Twice Before Selection: Federated Evidential Active Learning for Medical Image Analysis with Domain Shifts,"Jiayi Chen,



Benteng Ma,



Hengfei Cui,



Yong Xia",,,
Probing the 3D Awareness of Visual Foundation Models,"Mohamed El Banani,



Amit Raj,



Kevis-Kokitsi Maninis,



Abhishek Kar,



Yuanzhen Li,



Michael Rubinstein,



Deqing Sun,



Leonidas Guibas,



Justin Johnson,



Varun Jampani",,,
PIA: Your Personalized Image Animator via Plug-and-Play Modules in Text-to-Image Models,"Yiming Zhang,



Zhening Xing,



Yanhong Zeng,



Youqing Fang,



Kai Chen",,,
When Visual Grounding Meets Gigapixel-level Large-scale Scenes: Benchmark and Approach,"Tao Ma,



Bing Bai,



Haozhe Lin,



Heyuan Wang,



Yu Wang,



Lin Luo,



Lu Fang",,,
NeRF Analogies: Example-Based Visual Attribute Transfer for NeRFs,"Michael Fischer,



Zhengqin Li,



Thu Nguyen-Phuoc,



Aljaz Bozic,



Zhao Dong,



Carl Marshall,



Tobias Ritschel",,,
Mind Artist: Creating Artistic Snapshots with Human Thought,"Jiaxuan Chen,



Yu Qi,



Yueming Wang,



Gang Pan",,,
ViTamin: Designing Scalable Vision Models in the Vision-Language Era,"Jieneng Chen,



Qihang Yu,



Xiaohui Shen,



Alan Yuille,



Liang-Chieh Chen",,,
Accept the Modality Gap: An Exploration in the Hyperbolic Space,"Sameera Ramasinghe,



Violetta Shevchenko,



Gil Avraham,



Ajanthan Thalaiyasingam",,,
Unraveling Instance Associations: A Closer Look for Audio-Visual Segmentation,"Yuanhong Chen,



Yuyuan Liu,



Hu Wang,



Fengbei Liu,



Chong Wang,



Helen Frazer,



Gustavo Carneiro",,,
Few-Shot Object Detection with Foundation Models,"Guangxing Han,



Ser-Nam Lim",,,
FedMef: Towards Memory-efficient Federated Dynamic Pruning,"Hong Huang,



Weiming Zhuang,



Chen Chen,



Lingjuan Lyu",,,
